car,task,submit_time,deadline_time,response_time,processing_time,service_response_time,uplink_time,downlink_time,sinr_ul,sinr_dl,cqi_ul,cqi_dl,distance,request_queue_size,harq_error_rate_ul,harq_tx_attempts_ul,rlc_packet_loss_ul,rlc_throughput_ul,task_success
1,9,35.212,35.562000000000005,0.113,0.0001641482675,0.007204365091,0.10100311195,0.004628374691,28.048063606084,40.473821736782,14.0,15.0,264.56511043155,,0.0,1.0,0.0,17292.329545455,1.0
1,10,38.334,38.684000000000005,0.122,0.000164600485,0.002369523786,0.11500311195,0.004462763779,36.493778369614,32.416214364831,15.0,14.0,255.55788699914,,0.0,1.0,0.0,17469.642810551,1.0
1,11,41.436,41.786,0.102,0.00020534138,0.000563370224,0.097003112,0.004228176396,31.144073406858,33.598809180465,14.0,14.0,248.67106609151,,0.0,1.0,0.0,17629.987207646,1.0
1,12,44.554,44.904,0.118,0.00020399012,0.003344222865,0.110003112,0.004448675015,28.564620769764,50.885567082482,14.0,15.0,213.8583961258,,0.0,1.0,0.0,17763.592690702,1.0
1,13,47.646,47.996,0.092,0.00020910762,0.00214515683,0.08500311205,0.0046426235,37.680267270044,54.762351304034,15.0,15.0,168.94479356554,,0.0,1.0,0.0,17887.9909318,1.0
1,14,50.739,51.089,0.093,0.000238157325,0.003119166327,0.0850031121,0.004639564248,39.437769932735,54.511378916209,15.0,15.0,124.0455062386,,0.0,1.0,0.0,17997.575446965,1.0
1,15,53.832,54.182,0.093,0.000229765325,0.003391464724,0.0850031121,0.004375657851,39.566875931079,59.96310475937,15.0,15.0,108.13871765292,,0.0,1.0,0.0,18094.233055886,1.0
1,16,56.925,57.275,0.093,0.0002887595975,0.002241294771,0.08600311215,0.004466833481,44.678863430126,61.132739716038,15.0,15.0,118.28284252799,,0.0,1.0,0.0,18180.066059946,1.0
1,17,60.018,60.368,0.093,0.00028978197,0.001917066609,0.0860066274,0.004786524021,33.265844451031,56.442173603242,15.0,15.0,94.546014730226,,0.0,2.0,0.0,18257.35281865,1.0
1,18,63.109,63.459,0.091,0.00028667985,0.002550544581,0.0840031122,0.004159663369,43.941819608984,66.411665275244,15.0,15.0,65.960164043512,,0.0,1.0,0.0,18327.644131723,1.0
1,19,66.203,66.553,0.094,0.000335153585,0.005437250896,0.08400311225,0.004224483269,66.722059648062,60.479760786566,15.0,15.0,60.583352142984,,0.0,1.0,0.0,18391.370688744,1.0
1,20,69.294,69.64399999999999,0.091,0.0003545479925,0.002024992344,0.08400311225,0.004617347413,53.588979610087,73.867421782414,15.0,15.0,47.366935609547,,0.0,1.0,0.0,18448.612293792,1.0
1,21,72.383,72.73299999999999,0.089,0.00034489385,0.000390283221,0.0840031123,0.004261710629,55.984225928586,83.810042003589,15.0,15.0,12.005496331267,,0.0,1.0,0.0,18501.727044129,1.0
1,22,75.477,75.827,0.094,0.000321940045,0.005505579928,0.0840031123,0.004169367727,55.979168936587,62.129561227431,15.0,15.0,42.585749736345,,0.0,1.0,0.0,18550.982548664,1.0
2,0,9.646,9.996,1.443,2.7100115e-05,0.010792098977,1.42800311165,0.004177689258,4.8524111709812,26.89635656287,4.0,13.0,690.00316843067,,0.0,1.0,0.0,6320.1121378881,0.0
2,1,13.105,13.455,0.459,5.2264045e-05,0.001083403881,0.4530031117,0.004861220374,2.3112378496126,27.454892404065,4.0,14.0,697.99949583279,,0.0,1.0,0.0,9293.6865409573,0.0
2,2,16.457,16.807000000000002,0.352,4.51465e-05,0.00202799818,0.3450031117,0.00492374362,19.132620578485,31.305696748556,10.0,14.0,714.59910252676,,0.0,1.0,0.0,11100.729483283,0.0
2,3,20.108,20.458000000000002,0.651,7.961544e-05,0.002980147238,0.64300311175,0.004937125572,7.3281109832581,16.666979269807,4.0,13.0,727.52834354134,,0.0,1.0,0.0,12113.233830846,0.0
2,4,23.669,24.019000000000002,0.561,0.00010990787,0.003278218146,0.5530031118,0.004608762184,5.6836471433432,26.262817306623,4.0,13.0,689.40691703299,,0.0,1.0,0.0,12862.727695364,0.0
2,5,27.217,27.567,0.548,0.0001336627,0.002926700146,0.54000311185,0.004936525304,14.527719720777,29.421499272722,5.0,14.0,631.75965789449,,0.0,1.0,0.0,13422.544011173,0.0
2,6,30.611,30.961000000000002,0.394,0.0001180762,0.004447245449,0.38500311185,0.004431566501,0.76616942396745,23.896619533923,2.0,12.0,576.26509065928,,0.0,1.0,0.0,13923.371021502,0.0
